Date,Open,High,Low,Close,Adj Close,Volume
2021-01-13,102.320000,103.379997,101.489998,102.889999,102.453819,4804500
2021-01-14,103.800003,104.190002,101.709999,101.820000,101.388359,4528300
2021-01-15,101.379997,102.690002,101.209999,102.330002,101.896194,5522900
2021-01-19,102.800003,103.599998,101.339996,102.540001,102.105309,6519600
2021-01-20,102.410004,105.849998,102.199997,105.459999,105.012924,5844300
2021-01-21,105.459999,105.489998,104.449997,104.580002,104.136658,5732900
2021-01-22,104.160004,104.470001,103.059998,103.910004,103.469505,5231600
2021-01-25,103.750000,103.949997,102.169998,103.449997,103.011444,5009000
2021-01-26,103.400002,105.209999,103.239998,104.690002,104.246193,7195300
2021-01-27,101.480003,101.779999,96.730003,97.870003,97.455109,18139500
2021-01-28,98.940002,100.529999,98.099998,98.150002,97.733917,8868200
2021-01-29,97.389999,97.790001,95.919998,96.809998,96.399597,8200800
2021-02-01,96.989998,99.620003,96.919998,98.580002,98.162094,7206300
2021-02-02,99.050003,102.480003,98.779999,101.650002,101.219078,6917700
2021-02-03,101.250000,102.650002,100.809998,101.019997,100.591743,3934800
2021-02-04,101.360001,104.239998,101.110001,103.639999,103.200645,6926800
2021-02-05,105.089996,107.540001,104.779999,106.480003,106.028610,8070700
2021-02-08,106.419998,106.529999,105.339996,106.260002,105.809540,4836600
2021-02-09,106.000000,106.830002,105.220001,106.220001,105.769707,4095200
2021-02-10,106.779999,106.900002,104.930000,105.870003,105.421188,4293200
2021-02-11,106.120003,106.230003,105.029999,105.860001,105.411232,2975100
2021-02-12,105.739998,105.940002,104.720001,105.300003,104.853607,3167800
2021-02-16,104.879997,106.589996,104.699997,106.150002,105.700005,4928100
2021-02-17,105.110001,105.459999,104.150002,104.440002,104.440002,5733800
2021-02-18,103.779999,105.339996,103.410004,104.970001,104.970001,4098700
2021-02-19,104.750000,105.279999,103.220001,103.370003,103.370003,4128900
2021-02-22,102.989998,102.989998,101.750000,101.809998,101.809998,5211800
2021-02-23,103.339996,103.339996,99.930000,101.370003,101.370003,8740300
2021-02-24,101.160004,104.510002,100.599998,104.379997,104.379997,7542700
2021-02-25,104.000000,105.769997,103.110001,103.470001,103.470001,7534000
2021-02-26,104.150002,109.480003,103.680000,108.029999,108.029999,15120900
2021-03-01,108.599998,110.470001,106.540001,106.870003,106.870003,7930300
2021-03-02,107.309998,108.250000,105.820000,107.199997,107.199997,5014600
2021-03-03,106.940002,107.959999,106.120003,106.220001,106.220001,5312000
2021-03-04,106.260002,107.169998,103.849998,104.889999,104.889999,7168900
2021-03-05,106.059998,106.059998,102.750000,105.199997,105.199997,5558700
2021-03-08,104.800003,106.889999,104.230003,105.029999,105.029999,5118000
2021-03-09,106.279999,107.970001,105.830002,106.550003,106.550003,5508000
2021-03-10,107.220001,109.070000,106.959999,107.779999,107.779999,6074300
2021-03-11,108.410004,108.570000,107.260002,107.320000,107.320000,4667100
2021-03-12,107.419998,107.989998,106.580002,107.809998,107.809998,3354800
2021-03-15,107.889999,108.949997,107.059998,108.900002,108.900002,7107300
2021-03-16,110.570000,112.339996,109.889999,111.339996,111.339996,11155700
